id,id_pratica,data_creazione,stato_pratica,note,id_cliente
97,317-722-5066,2016-03-15 00:00:00,open,malinda.hochard@yahoo.com,94
98,307-704-8713,2016-03-15 00:00:00,close,natalie.fern@hotmail.com,95
99,703-235-3937,2016-03-15 00:00:00,open,lisha@centini.org,96
100,504-710-5840,2016-03-15 00:00:00,open,arlene_klusman@gmail.com,97
101,303-301-4946,2016-03-15 00:00:00,open,alease@buemi.com,98
102,510-828-7047,2016-03-15 00:00:00,open,louisa@cronauer.com,99
103,808-892-7943,2016-03-15 00:00:00,close,angella.cetta@hotmail.com,100
104,952-334-9408,2016-03-15 00:00:00,close,cgoldammer@cox.net,101
105,336-243-5659,2016-03-15 00:00:00,close,rosio.cork@gmail.com,102
106,516-509-2347,2016-03-15 00:00:00,open,ckorando@hotmail.com,103
107,503-939-3153,2016-03-15 00:00:00,close,twana.felger@felger.org,104
108,608-976-7199,2016-03-15 00:00:00,open,estrella@aol.com,105
109,508-429-8576,2016-03-15 00:00:00,open,dkines@hotmail.com,106
110,305-385-9695,2016-03-15 00:00:00,open,tiffiny_steffensmeier@cox.net,107
111,814-460-2655,2016-03-15 00:00:00,open,emiceli@miceli.org,108
112,972-666-3413,2016-03-15 00:00:00,close,sue@aol.com,109
113,931-273-8709,2016-03-15 00:00:00,close,jshin@shin.com,110
114,973-649-2922,2016-03-15 00:00:00,close,rolland@cox.net,111
115,305-420-8970,2016-03-15 00:00:00,open,pamella.schmierer@schmierer.org,112
116,410-224-9462,2016-03-15 00:00:00,close,gkulzer@kulzer.org,113
117,805-275-3566,2016-03-15 00:00:00,open,shawna_palaspas@palaspas.org,114
118,808-215-6832,2016-03-15 00:00:00,open,brandon_callaro@hotmail.com,115
119,229-735-3378,2016-03-15 00:00:00,open,scarlet.cartan@yahoo.com,116
120,617-418-5043,2016-03-15 00:00:00,open,oretha_menter@yahoo.com,117
121,201-672-1553,2016-03-15 00:00:00,close,tsmith@aol.com,118
122,650-933-5072,2016-03-15 00:00:00,close,xuan@gmail.com,119
123,909-639-9887,2016-03-15 00:00:00,close,lindsey.dilello@hotmail.com,120
124,510-955-3016,2016-03-15 00:00:00,open,devora_perez@perez.org,121
125,518-497-2940,2016-03-15 00:00:00,close,hdemesa@cox.net,122
126,570-867-7489,2016-03-15 00:00:00,open,rpapasergi@cox.net,123
127,973-245-2133,2016-03-15 00:00:00,open,talia_riopelle@aol.com,124
128,908-409-2890,2016-03-15 00:00:00,open,van.shire@shire.com,125
129,321-749-4981,2016-03-15 00:00:00,open,lucina_lary@cox.net,126
130,718-809-3762,2016-03-15 00:00:00,close,bok.isaacs@aol.com,127
131,808-315-3077,2016-03-15 00:00:00,close,rolande.spickerman@spickerman.com,128
132,303-623-4241,2016-03-15 00:00:00,close,hpaulas@gmail.com,129
133,973-310-1634,2016-03-15 00:00:00,open,kimbery_madarang@cox.net,130
134,609-524-3586,2016-03-15 00:00:00,close,thurman.manno@yahoo.com,131
135,908-877-8409,2016-03-15 00:00:00,open,becky.mirafuentes@mirafuentes.com,132
136,508-584-4279,2016-03-15 00:00:00,open,beatriz@yahoo.com,133
137,773-775-4522,2016-03-15 00:00:00,open,marti.maybury@yahoo.com,134
138,503-527-5274,2016-03-15 00:00:00,open,nieves_gotter@gmail.com,135
139,214-339-1809,2016-03-15 00:00:00,close,lhagele@cox.net,136
140,312-303-5453,2016-03-15 00:00:00,close,vklimek@klimek.org,137
141,419-939-3613,2016-03-15 00:00:00,close,melissa@cox.net,138
142,951-645-3605,2016-03-15 00:00:00,open,sheridan.zane@zane.com,139
143,254-463-4368,2016-03-15 00:00:00,close,bulah_padilla@hotmail.com,140
144,615-406-7854,2016-03-15 00:00:00,open,audra@kohnert.com,141
145,414-959-2540,2016-03-15 00:00:00,open,dweirather@aol.com,142
146,410-387-5260,2016-03-15 00:00:00,open,fjillson@aol.com,143
147,972-934-6914,2016-03-15 00:00:00,open,gearldine_gellinger@gellinger.com,144
148,310-560-8022,2016-03-15 00:00:00,close,chau@gmail.com,145
149,516-948-5768,2016-03-15 00:00:00,close,theola_frey@frey.com,146
150,609-518-7697,2016-03-15 00:00:00,close,cheryl@haroldson.org,147
151,513-508-7371,2016-03-15 00:00:00,open,lmerced@gmail.com,148
152,541-326-4074,2016-03-15 00:00:00,close,carissa.batman@yahoo.com,149
153,919-533-3762,2016-03-15 00:00:00,open,lezlie.craghead@craghead.org,150
154,212-332-8435,2016-03-15 00:00:00,open,oshealy@hotmail.com,151
155,602-906-9419,2016-03-15 00:00:00,open,arminda@parvis.com,152
156,317-234-1135,2016-03-15 00:00:00,open,reita.leto@gmail.com,153
157,315-304-4759,2016-03-15 00:00:00,close,yolando@cox.net,154
158,856-487-5412,2016-03-15 00:00:00,close,lizette.stem@aol.com,155
159,516-212-1915,2016-03-15 00:00:00,close,gpawlowicz@yahoo.com,156
160,501-308-1040,2016-03-15 00:00:00,open,cdeleo@deleo.com,157
161,651-591-2583,2016-03-15 00:00:00,close,chantell@yahoo.com,158
162,215-325-3042,2016-03-15 00:00:00,open,dyum@yahoo.com,159
163,985-890-7262,2016-03-15 00:00:00,open,larae_gudroe@gmail.com,160
164,631-957-7624,2016-03-15 00:00:00,open,latrice.tolfree@hotmail.com,161
165,916-591-3277,2016-03-15 00:00:00,open,kerry.theodorov@gmail.com,162
166,208-649-2373,2016-03-15 00:00:00,close,dhidvegi@yahoo.com,163
167,512-587-5746,2016-03-15 00:00:00,close,fannie.lungren@yahoo.com,164
168,215-964-3284,2016-03-15 00:00:00,close,evangelina@aol.com,165
169,808-477-4775,2016-03-15 00:00:00,open,novella_degroot@degroot.org,166
170,775-501-8109,2016-03-15 00:00:00,close,choa@hoa.org,167
171,847-979-9545,2016-03-15 00:00:00,open,jfallick@yahoo.com,168
172,973-545-7355,2016-03-15 00:00:00,open,irma.wolfgramm@hotmail.com,169
173,864-256-3620,2016-03-15 00:00:00,open,eun@yahoo.com,170
174,410-209-9545,2016-03-15 00:00:00,open,sylvia_cousey@cousey.org,171
175,914-855-2115,2016-03-15 00:00:00,close,nana@aol.com,172
176,212-260-3151,2016-03-15 00:00:00,close,layla.springe@cox.net,173
177,510-677-9785,2016-03-15 00:00:00,close,joesph_degonia@degonia.org,174
178,978-697-6263,2016-03-15 00:00:00,open,annabelle.boord@cox.net,175
179,415-767-6596,2016-03-15 00:00:00,close,stephaine@cox.net,176
180,201-971-1638,2016-03-15 00:00:00,open,nelida@gmail.com,177
181,925-634-7158,2016-03-15 00:00:00,open,marguerita.hiatt@gmail.com,178
182,773-494-4195,2016-03-15 00:00:00,open,ccookey@cookey.org,179
183,973-943-3423,2016-03-15 00:00:00,open,jbrideau@aol.com,180
184,419-544-4900,2016-03-15 00:00:00,close,claribel_varriano@cox.net,181
185,310-579-2907,2016-03-15 00:00:00,close,benton.skursky@aol.com,182
186,352-242-2570,2016-03-15 00:00:00,close,hillary.skulski@aol.com,183
187,408-758-5015,2016-03-15 00:00:00,open,merilyn_bayless@cox.net,184
188,570-889-5187,2016-03-15 00:00:00,close,tennaco@gmail.com,185
189,201-588-7810,2016-03-15 00:00:00,open,merlyn_lawler@hotmail.com,186
190,925-615-5185,2016-03-15 00:00:00,open,gmontezuma@cox.net,187
191,908-802-3564,2016-03-15 00:00:00,open,jmconnell@hotmail.com,188
192,631-748-6479,2016-03-15 00:00:00,open,lemuel.latzke@gmail.com,189
193,805-690-1682,2016-03-15 00:00:00,close,mknipp@gmail.com,190
194,908-275-8357,2016-03-15 00:00:00,close,candida_corbley@hotmail.com,191
195,503-940-8327,2016-03-15 00:00:00,close,karan_karpin@gmail.com,192
196,503-516-2189,2016-03-15 00:00:00,open,andra@gmail.com,193
197,856-305-9731,2016-03-15 00:00:00,close,fpoullion@poullion.com,194
198,770-507-8791,2016-03-15 00:00:00,open,belen_strassner@aol.com,195
199,904-235-3633,2016-03-15 00:00:00,open,gracia@melnyk.com,196
200,207-458-9196,2016-03-15 00:00:00,open,jhanafan@gmail.com,197
201,817-765-5781,2016-03-15 00:00:00,open,barrett.toyama@toyama.org,198
202,716-752-4114,2016-03-15 00:00:00,close,helga_fredicks@yahoo.com,199
203,305-670-9628,2016-03-15 00:00:00,close,apinilla@cox.net,200
204,212-313-1783,2016-03-15 00:00:00,close,fausto_agramonte@yahoo.com,201
205,215-605-7570,2016-03-15 00:00:00,open,ronny.caiafa@caiafa.org,202
206,850-430-1663,2016-03-15 00:00:00,close,marge@gmail.com,203
207,415-306-7897,2016-03-15 00:00:00,open,norah.waymire@gmail.com,204
208,408-504-3552,2016-03-15 00:00:00,open,aliza@aol.com,205
209,650-947-1215,2016-03-15 00:00:00,open,mpelkowski@pelkowski.org,206
210,818-864-4875,2016-03-15 00:00:00,open,viola@gmail.com,207
211,215-558-8189,2016-03-15 00:00:00,close,femard@emard.com,208
212,337-253-8384,2016-03-15 00:00:00,close,willodean_konopacki@konopacki.org,209
213,313-533-4884,2016-03-15 00:00:00,close,beckie.silvestrini@silvestrini.com,210
214,512-213-8574,2016-03-15 00:00:00,open,rgesick@gesick.org,211
215,214-428-2285,2016-03-15 00:00:00,close,frederica_blunk@gmail.com,212
216,206-697-5796,2016-03-15 00:00:00,open,glen_bartolet@hotmail.com,213
217,610-476-3501,2016-03-15 00:00:00,open,freeman_gochal@aol.com,214
218,215-372-1718,2016-03-15 00:00:00,open,vincent.meinerding@hotmail.com,215
219,310-858-5079,2016-03-15 00:00:00,open,rima@cox.net,216
220,707-653-8214,2016-03-15 00:00:00,close,gsarbacher@gmail.com,217
221,407-808-9439,2016-03-15 00:00:00,close,avery@cox.net,218
222,760-971-4322,2016-03-15 00:00:00,close,cristy@lother.com,219
223,508-837-9230,2016-03-15 00:00:00,open,nicolette_brossart@brossart.com,220
224,936-264-9294,2016-03-15 00:00:00,close,tracey@hotmail.com,221
225,414-214-8697,2016-03-15 00:00:00,open,virgina_tegarden@tegarden.com,222
226,626-636-4117,2016-03-15 00:00:00,open,tfrankel@aol.com,223
227,914-300-9193,2016-03-15 00:00:00,open,alaine_bergesen@cox.net,224
228,214-289-1973,2016-03-15 00:00:00,open,earleen_mai@cox.net,225
229,228-235-5615,2016-03-15 00:00:00,close,leonida@gobern.org,226
230,305-604-8981,2016-03-15 00:00:00,close,ressie.auffrey@yahoo.com,227
231,212-304-9225,2016-03-15 00:00:00,close,jmugnolo@yahoo.com,228
232,201-474-4924,2016-03-15 00:00:00,open,eladia@saulter.com,229
233,734-928-5182,2016-03-15 00:00:00,close,chaya@malvin.com,230
234,631-258-6558,2016-03-15 00:00:00,open,gwenn_suffield@suffield.org,231
235,330-791-8557,2016-03-15 00:00:00,open,skarpel@cox.net,232
236,203-506-4706,2016-03-15 00:00:00,open,yoko@fishburne.com,233
237,703-322-4041,2016-03-15 00:00:00,open,taryn.moyd@hotmail.com,234
238,978-626-2978,2016-03-15 00:00:00,close,katina_polidori@aol.com,235
239,419-693-1334,2016-03-15 00:00:00,close,rickie.plumer@aol.com,236
240,253-660-7821,2016-03-15 00:00:00,close,alex@loader.com,237
241,916-741-7884,2016-03-15 00:00:00,open,lashon@aol.com,238
242,307-342-7795,2016-03-15 00:00:00,close,lburnard@burnard.com,239
243,207-627-7565,2016-03-15 00:00:00,open,ceola.setter@setter.org,240
244,215-491-5633,2016-03-15 00:00:00,open,my@hotmail.com,241
245,813-769-2939,2016-03-15 00:00:00,open,lorrine.worlds@worlds.com,242
246,619-608-1763,2016-03-15 00:00:00,open,peggie@cox.net,243
247,979-718-8968,2016-03-15 00:00:00,close,mraymo@yahoo.com,244
248,847-233-3075,2016-03-15 00:00:00,close,daron_dinos@cox.net,245
249,609-228-5265,2016-03-15 00:00:00,close,an_fritz@hotmail.com,246
250,908-722-7128,2016-03-15 00:00:00,open,portia.stimmel@aol.com,247
251,718-560-9537,2016-03-15 00:00:00,close,rhea_aredondo@cox.net,248
252,314-787-1588,2016-03-15 00:00:00,open,bsama@cox.net,249
253,209-317-1801,2016-03-15 00:00:00,open,alyce@arias.org,250
254,973-936-5095,2016-03-15 00:00:00,open,heike@gmail.com,251
255,317-578-2453,2016-03-15 00:00:00,open,carey_dopico@dopico.org,252
256,206-540-6076,2016-03-15 00:00:00,close,dottie@hellickson.org,253
257,336-822-7652,2016-03-15 00:00:00,close,deandrea@yahoo.com,254
258,785-629-8542,2016-03-15 00:00:00,close,kimberlie_duenas@yahoo.com,255
259,407-471-6908,2016-03-15 00:00:00,open,martina_staback@staback.com,256
260,612-508-2655,2016-03-15 00:00:00,close,skye_fillingim@yahoo.com,257
261,803-352-5387,2016-03-15 00:00:00,open,jade.farrar@yahoo.com,258
262,707-300-1771,2016-03-15 00:00:00,open,charlene.hamilton@hotmail.com,259
263,847-222-1734,2016-03-15 00:00:00,open,geoffrey@gmail.com,260
264,949-867-4077,2016-03-15 00:00:00,open,stevie.westerbeck@yahoo.com,261
265,303-404-2210,2016-03-15 00:00:00,close,pamella@fortino.com,262
266,203-801-6193,2016-03-15 00:00:00,close,hhaufler@hotmail.com,263
267,425-986-7573,2016-03-15 00:00:00,close,jengelberg@engelberg.org,264
268,440-989-5826,2016-03-15 00:00:00,open,buddy.cloney@yahoo.com,265
269,603-315-6839,2016-03-15 00:00:00,close,dalene.riden@aol.com,266
270,321-518-5938,2016-03-15 00:00:00,open,jzurcher@zurcher.org,267
271,212-792-8658,2016-03-15 00:00:00,open,hdenooyer@denooyer.org,268
272,714-584-2237,2016-03-15 00:00:00,open,joseph_cryer@cox.net,269
273,248-913-4677,2016-03-15 00:00:00,open,deonna_kippley@hotmail.com,270
274,317-825-4724,2016-03-15 00:00:00,close,raymon.calvaresi@gmail.com,271
275,940-276-7922,2016-03-15 00:00:00,close,alecia@aol.com,272
276,203-721-3388,2016-03-15 00:00:00,close,mlayous@hotmail.com,273
277,410-739-9277,2016-03-15 00:00:00,open,detra@aol.com,274
278,504-463-4384,2016-03-15 00:00:00,close,terrilyn.rodeigues@cox.net,275
279,804-550-5097,2016-03-15 00:00:00,open,slacovara@gmail.com,276
280,215-979-8776,2016-03-15 00:00:00,open,garry_keetch@hotmail.com,277
281,952-651-7597,2016-03-15 00:00:00,open,mneither@yahoo.com,278
282,305-936-8226,2016-03-15 00:00:00,open,theodora.restrepo@restrepo.com,279
283,414-263-5287,2016-03-15 00:00:00,close,noah.kalafatis@aol.com,280
284,732-941-2621,2016-03-15 00:00:00,close,csweigard@sweigard.com,281
285,701-898-2154,2016-03-15 00:00:00,close,lavonda@cox.net,282
286,775-638-9963,2016-03-15 00:00:00,open,junita@aol.com,283
287,602-954-5141,2016-03-15 00:00:00,close,herminia@nicolozakes.org,284
288,615-390-2251,2016-03-15 00:00:00,open,casie.good@aol.com,285
289,410-351-1863,2016-03-15 00:00:00,open,reena@hotmail.com,286
290,212-870-1286,2016-03-15 00:00:00,open,mirta_mallett@gmail.com,287
291,806-703-1435,2016-03-15 00:00:00,open,cathrine.pontoriero@pontoriero.com,288
292,323-765-2528,2016-03-15 00:00:00,close,ftawil@hotmail.com,289
293,619-509-5282,2016-03-15 00:00:00,close,rupthegrove@yahoo.com,290
294,770-732-1194,2016-03-15 00:00:00,close,sarah.candlish@gmail.com,291
295,508-769-5250,2016-03-15 00:00:00,open,lucy@cox.net,292
296,269-756-7222,2016-03-15 00:00:00,close,jaquas@aquas.com,293
297,973-714-1721,2016-03-15 00:00:00,open,yvonne.tjepkema@hotmail.com,294
298,337-740-9323,2016-03-15 00:00:00,open,kayleigh.lace@yahoo.com,295
299,717-491-5643,2016-03-15 00:00:00,open,felix_hirpara@cox.net,296
300,314-359-9566,2016-03-15 00:00:00,open,tresa_sweely@hotmail.com,297
301,817-213-8851,2016-03-15 00:00:00,close,kristeen@gmail.com,298
302,813-932-8715,2016-03-15 00:00:00,close,jregusters@regusters.com,299
303,770-679-4752,2016-03-15 00:00:00,close,renea@hotmail.com,300
304,760-938-6069,2016-03-15 00:00:00,open,olive@aol.com,301
305,517-906-1108,2016-03-15 00:00:00,close,lreiber@cox.net,302
306,602-390-4944,2016-03-15 00:00:00,open,christiane.eschberger@yahoo.com,303
307,207-295-7569,2016-03-15 00:00:00,open,goldie.schirpke@yahoo.com,304
308,301-696-6420,2016-03-15 00:00:00,open,loreta.timenez@hotmail.com,305
309,717-809-3119,2016-03-15 00:00:00,open,fabiola.hauenstein@hauenstein.org,306
310,972-419-7946,2016-03-15 00:00:00,close,amie.perigo@yahoo.com,307
311,406-318-1515,2016-03-15 00:00:00,close,raina.brachle@brachle.org,308
312,973-767-3008,2016-03-15 00:00:00,close,erinn.canlas@canlas.com,309
313,248-980-6904,2016-03-15 00:00:00,open,cherry@lietz.com,310
314,216-923-3715,2016-03-15 00:00:00,close,kattie@vonasek.org,311
315,325-631-1560,2016-03-15 00:00:00,open,lilli@aol.com,312
316,817-526-4408,2016-03-15 00:00:00,open,whitley.tomasulo@aol.com,313
317,718-201-3751,2016-03-15 00:00:00,open,badkin@hotmail.com,314
318,401-893-4882,2016-03-15 00:00:00,open,hermila_thyberg@hotmail.com,315
319,717-885-9118,2016-03-15 00:00:00,close,jesusita.flister@hotmail.com,316
320,401-948-4982,2016-03-15 00:00:00,close,caitlin.julia@julia.org,317
321,305-622-4739,2016-03-15 00:00:00,close,roosevelt.hoffis@aol.com,318
322,201-832-4168,2016-03-15 00:00:00,open,hhalter@yahoo.com,319
323,210-856-4979,2016-03-15 00:00:00,close,lorean.martabano@hotmail.com,320
324,718-478-8504,2016-03-15 00:00:00,open,france.buzick@yahoo.com,321
325,909-993-3242,2016-03-15 00:00:00,open,jferrario@hotmail.com,322
326,216-230-4892,2016-03-15 00:00:00,open,adelina_nabours@gmail.com,323
327,212-304-4515,2016-03-15 00:00:00,open,ddhamer@cox.net,324
328,804-762-9576,2016-03-15 00:00:00,close,jerry.dallen@yahoo.com,325
329,706-221-4243,2016-03-15 00:00:00,close,leota.ragel@gmail.com,326
330,337-515-1438,2016-03-15 00:00:00,close,jamyot@hotmail.com,327
331,973-544-2677,2016-03-15 00:00:00,open,aja_gehrett@hotmail.com,328
332,607-407-3716,2016-03-15 00:00:00,close,kirk.herritt@aol.com,329
333,973-412-2995,2016-03-15 00:00:00,open,leonora@yahoo.com,330
334,208-252-4552,2016-03-15 00:00:00,open,winfred_brucato@hotmail.com,331
335,415-411-1775,2016-03-15 00:00:00,open,tarra.nachor@cox.net,332
336,508-942-4186,2016-03-15 00:00:00,open,corinne@loder.org,333
337,248-357-8718,2016-03-15 00:00:00,close,dulce_labreche@yahoo.com,334
338,920-353-6377,2016-03-15 00:00:00,close,kate_keneipp@yahoo.com,335
339,410-665-4903,2016-03-15 00:00:00,close,kaitlyn.ogg@gmail.com,336
340,719-669-1664,2016-03-15 00:00:00,open,sherita.saras@cox.net,337
341,419-588-8719,2016-03-15 00:00:00,close,lstuer@cox.net,338
342,301-998-9644,2016-03-15 00:00:00,open,ernest@cox.net,339
343,508-855-9887,2016-03-15 00:00:00,open,nobuko.halsey@yahoo.com,340
344,703-483-1970,2016-03-15 00:00:00,open,lavonna.wolny@hotmail.com,341
345,410-678-2473,2016-03-15 00:00:00,open,llizama@cox.net,342
346,512-223-4791,2016-03-15 00:00:00,close,mariann.bilden@aol.com,343
347,623-461-8551,2016-03-15 00:00:00,close,helene@aol.com,344
348,419-571-5920,2016-03-15 00:00:00,close,roselle.estell@hotmail.com,345
349,206-311-4137,2016-03-15 00:00:00,open,sheintzman@hotmail.com,346
350,513-617-2362,2016-03-15 00:00:00,close,margart_meisel@yahoo.com,347
351,812-368-1511,2016-03-15 00:00:00,open,kristofer.bennick@yahoo.com,348
352,847-353-2156,2016-03-15 00:00:00,open,wacuff@gmail.com,349
353,718-232-2337,2016-03-15 00:00:00,open,shalon@cox.net,350
354,407-446-4358,2016-03-15 00:00:00,open,denise@patak.org,351
355,310-820-2117,2016-03-15 00:00:00,close,louvenia.beech@beech.com,352
356,813-797-4816,2016-03-15 00:00:00,close,audry.yaw@yaw.org,353
357,915-452-1290,2016-03-15 00:00:00,close,kristel.ehmann@aol.com,354
358,619-603-5125,2016-03-15 00:00:00,open,vzepp@gmail.com,355
359,301-841-5012,2016-03-15 00:00:00,close,egwalthney@yahoo.com,356
360,714-523-6653,2016-03-15 00:00:00,open,venita_maillard@gmail.com,357
361,314-732-9131,2016-03-15 00:00:00,open,kasandra_semidey@semidey.com,358
362,512-233-1831,2016-03-15 00:00:00,open,xdiscipio@gmail.com,359
